2023-12-04 15:40:55,340 - __main__ - INFO - This is an info message
2023-12-04 15:40:55,340 - __main__ - WARNING - This is a warning message
2023-12-04 15:40:55,340 - __main__ - ERROR - This is an error message
2023-12-04 15:40:55,340 - __main__ - CRITICAL - This is a critical message
2023-12-04 19:14:23,918 - template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-04 19:14:23,919 - template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 15:55:44,343 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 15:55:44,344 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 15:59:01,884 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 15:59:01,885 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:42:49,745 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:42:50,454 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:43:07,707 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:43:08,413 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:45:40,659 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:45:41,353 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:47:12,476 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:47:13,146 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:47:13,849 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.00), Mean(-10.05), Median(-10.00), Q9(-2.00),Max(-1.00), Cnt(2782)
2023-12-05 20:47:13,851 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.00), Mean(-9.86), Median(-9.00), Q9(-1.00),Max(-1.00), Cnt(2782)
2023-12-05 20:47:13,852 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.00), Mean(-9.98), Median(-10.00), Q9(-2.00),Max(-1.00), Cnt(2782)
2023-12-05 20:47:13,854 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.00), Mean(-9.83), Median(-10.00), Q9(-2.00),Max(-1.00), Cnt(2782)
2023-12-05 20:47:13,855 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.00), Mean(-9.63), Median(-9.00), Q9(-2.00),Max(-1.00), Cnt(2782)
2023-12-05 20:47:13,857 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.00), Mean(-9.73), Median(-10.00), Q9(-1.00),Max(-1.00), Cnt(2782)
2023-12-05 20:47:13,858 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.00), Mean(-9.40), Median(-9.00), Q9(-1.00),Max(-1.00), Cnt(2782)
2023-12-05 20:47:13,860 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.00), Mean(-9.39), Median(-9.00), Q9(-1.00),Max(-1.00), Cnt(2782)
2023-12-05 20:47:13,860 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.00), Mean(-8.87), Median(-8.50), Q9(-1.00),Max(-1.00), Cnt(2782)
2023-12-05 20:47:13,862 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.45), Mean(-9.21), Median(-8.00), Q9(-1.00),Max(-1.00), Cnt(2782)
2023-12-05 20:47:13,863 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-8.95), Median(-7.00), Q9(-1.00),Max(-1.00), Cnt(2782)
2023-12-05 20:47:13,865 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-9.82), Median(-9.00), Q9(-1.00),Max(-1.00), Cnt(2782)
2023-12-05 20:47:13,866 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.00), Mean(-9.57), Median(-9.00), Q9(-2.00),Max(-1.00), Cnt(2782)
2023-12-05 20:47:13,868 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.00), Mean(-9.66), Median(-9.00), Q9(-2.00),Max(-1.00), Cnt(2782)
2023-12-05 20:47:13,869 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-9.85), Median(-9.00), Q9(-1.00),Max(-1.00), Cnt(2782)
2023-12-05 20:47:13,871 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-10.07), Median(-9.00), Q9(-1.00),Max(-1.00), Cnt(2783)
2023-12-05 20:47:13,872 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-10.04), Median(-9.00), Q9(-1.00),Max(-1.00), Cnt(2783)
2023-12-05 20:47:13,874 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.00), Mean(-10.25), Median(-10.00), Q9(-2.00),Max(-1.00), Cnt(2785)
2023-12-05 20:47:13,876 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-18.00), Mean(-10.33), Median(-10.00), Q9(-3.00),Max(-1.00), Cnt(2786)
2023-12-05 20:47:13,877 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.00), Mean(-10.56), Median(-10.00), Q9(-3.00),Max(-1.00), Cnt(2787)
